מק""ט,"שם תחנה",רחוב,בית,"שם עיר","קו אורך","קו רוחב","סוג תחנה","תחנת קצה","כמות קווים עוצרים","% נסיעות מעבר","נסיעות מתחנה ליעד","עצירות יומי","עצירות 04:00-06:00","עצירות 06:00-09:00","עצירות 09:00-12:00","עצירות 12:00-15:00","עצירות 15:00-19:00","עצירות 19:00-24:00","עצירות 24:00-04:00","תיקופים יומי","תיקופים 04:00-06:00","תיקופים 06:00-09:00","תיקופים 09:00-12:00","תיקופים 12:00-15:00","תיקופים 15:00-19:00","תיקופים 19:00-24:00","תיקופים 24:00-04:00"
13677,"בי""""ס רמות/הדעת",הדעת,102,"באר שבע",34803781,31273954,"תחנה רגילה",רגילה,1,4.53482936,1.495558672,63,2,12,12,12,14,11,0,90.291666667,1.125,23.9375,19.75,19.979166667,21.791666667,3.708333333,0
11242,המדע/נויפלד,המדע,7,"באר שבע",34806829,31269347,"תחנה רגילה",רגילה,1,5.934718101,1.53115727,56,2,10,9,9,15,11,0,11.717391304,0,3.043478261,2.391304348,2.97826087,2.739130435,0.565217391,0
11248,"מרכז שיקום """"אילן""""/המדע",המדע,0,"באר שבע",34807502,31271250,"תחנה רגילה",רגילה,1,3.603603604,1.485199485,56,2,10,9,9,15,11,0,40.4375,0.25,10.708333333,10.9375,7.375,8.604166667,2.5625,0
18538,המדע/ריינר,המדע,76,"באר שבע",34807298,31272013,"תחנה רגילה",רגילה,1,3.903903904,1.231231231,55,0,7,9,9,16,12,2,14.416666667,0,2.625,2.145833333,5.166666667,3.291666667,1.145833333,0.041666667
11237,"מרכז גל/המדע",המדע,45,"באר שבע",34804690,31274327,"תחנה רגילה",רגילה,1,4.237288136,1.42690678,56,2,10,9,9,15,11,0,24.5625,0.291666667,7.791666667,4.604166667,4.875,5.583333333,1.416666667,0
10846,"ת. רכבת ב""""ש צפון",'-,0,"באר שבע",34808639,31261085,"ליד רכבת","קצה עליה והורדה",5,35.071090047,1.204976303,120,1,15,24,24,31,24,1,85.166666667,0,15.416666667,34.479166667,11.270833333,18.354166667,5.604166667,0.041666667
16067,"ת. רכבת ב""""ש צפון",'-,0,"באר שבע",34809230,31261714,"ליד רכבת","קצה עליה והורדה",2,32.369277916,1.272553151,182,5,30,36,36,44,31,0,298.020833333,0.770833333,46.6875,72.020833333,68.354166667,77.375,32.770833333,0.041666667
17082,"באר שבע צפון","מסילת ברזל",0,"באר שבע",34809286,31262089,רכבת,רגילה,'-,11.596636834,1.097341106,'-,'-,'-,'-,'-,'-,'-,'-,3121.416666667,113.645833333,1169.708333333,305.854166667,442.520833333,937.395833333,150.125,2.166666667
17082,"באר שבע צפון","מסילת ברזל",0,"באר שבע",34809286,31262089,רכבת,רגילה,'-,11.596636834,1.097341106,'-,'-,'-,'-,'-,'-,'-,'-,3121.416666667,113.645833333,1169.708333333,305.854166667,442.520833333,937.395833333,150.125,2.166666667
12036,"גשר ת. רכבת ב""""ש צפון/נתן רוזן","שדרות פרופ' נתן רוזן",0,"באר שבע",34810350,31262706,"ליד רכבת",רגילה,'-,'-,'-,'-,'-,'-,'-,'-,'-,'-,'-,1,0,1,0,0,0,0,0
12555,"גשר ת. רכבת ב""""ש צפון/נתן רוזן","שדרות פרופ' נתן רוזן",0,"באר שבע",34809517,31263309,"ליד רכבת",רגילה,1,8.256880734,1.350917431,82,2,14,15,15,20,16,0,16.333333333,0.041666667,1.708333333,2.458333333,3.4375,6.125,2.5625,0
12035,"גשר ת. רכבת ב""""ש צפון/התבונה",התבונה,41,"באר שבע",34810580,31263328,"ליד רכבת","קצה עליה והורדה",5,18.965517241,1.250957854,185,3,34,34,33,48,33,0,59.270833333,0.083333333,8.6875,9.25,16.354166667,19.645833333,5.083333333,0.166666667
12566,"האנרגיה/חלקיקי האור",האנרגיה,0,"באר שבע",34811917,31263266,"תחנה רגילה",רגילה,'-,'-,'-,'-,'-,'-,'-,'-,'-,'-,'-,1,0.2,0,0.6,0.2,0,0,0
12556,"שדרות תורת היחסות/חלקיקי האור","שדרת תורת היחסות",0,"באר שבע",34812247,31263719,"תחנה רגילה",רגילה,1,13.114754098,1.106557377,82,2,14,15,15,20,16,0,1.863636364,0,0,0.136363636,0.454545455,1.045454545,0.227272727,0
18442,"פארק הייטק/התבונה",התבונה,14,"באר שבע",34811763,31264302,"תחנה רגילה",רגילה,2,4.761904762,1.492063492,129,2,22,24,24,32,25,0,37.833333333,0.041666667,3.583333333,4.5,5.791666667,18.5625,5.354166667,0
12465,"יעקוב מרש/התבונה","יעקב מרש",2,"באר שבע",34811863,31264849,"תחנה רגילה",רגילה,1,12.903225806,1.053763441,47,1,9,9,9,12,7,0,3.869565217,0,0.347826087,0.260869565,0.847826087,1.391304348,1.02173913,0
12568,"התבונה/חלקיקי האור",התבונה,12,"באר שבע",34812238,31264469,"תחנה רגילה",רגילה,'-,'-,'-,'-,'-,'-,'-,'-,'-,'-,'-,1,0,0.666666667,0.333333333,0,0,0,0
19731,"יעקב מרש/יצחק מודעי","יעקב מרש",0,"באר שבע",34810051,31266887,"תחנה רגילה",רגילה,3,14.912280702,1.061403509,118,3,22,21,21,28,23,0,18.25,0.083333333,0.458333333,2.875,10.875,3.166666667,0.791666667,0
19732,"יעקב מרש/זבולון המר","יעקב מרש",16,"באר שבע",34810215,31266997,"תחנה רגילה",רגילה,3,9.682804674,1.328881469,116,5,20,21,21,28,21,0,22.645833333,0,5.083333333,4.6875,5.0625,6.145833333,1.666666667,0
14455,"שדרות אורי צבי גרינברג/יעקב מרש","שדרות אורי צבי גרינברג",0,"באר שבע",34809043,31268020,"תחנה רגילה",רגילה,1,4.964539007,1.184397163,47,1,9,9,9,12,7,0,6.195652174,0,0.739130435,0.913043478,2.47826087,1.847826087,0.217391304,0
19741,"זבולון המר/אברהם שופט","זבולון המר",13,"באר שבע",34812097,31267374,"תחנה רגילה",רגילה,2,0.632911392,1.408227848,69,4,11,12,12,16,14,0,13.375,0.25,5.125,2.333333333,1.979166667,2.708333333,0.979166667,0
12567,"שדרות פרופ' נתן רוזן/החדשנות","שדרות פרופ' נתן רוזן",0,"באר שבע",34812902,31261679,"תחנה רגילה",רגילה,'-,'-,'-,'-,'-,'-,'-,'-,'-,'-,'-,1.5,0,0,1,0,0.5,0,0
12565,"ציר הזמן/האנרגיה","ציר הזמן",0,"באר שבע",34814321,31262309,"תחנה רגילה",רגילה,'-,'-,'-,'-,'-,'-,'-,'-,'-,'-,'-,1.333333333,0,0.333333333,0.333333333,0.333333333,0.333333333,0,0
