קו,מפעיל,כיוון,חלופה,מקט,מוצא,יעד,תאור,אורך,"מספר תחנות","יציאות ביום ג","יציאות שבועיות",סוג,שרות,יחודיות,"סוג אוטובוס",שבת,נגיש,אשכול,מחוז,"מספר חלופה"
30,מטרו,2,#,21030,לקיה,"באר שבע","בית הקשתות - ת.מרכזית באר שבע/הורדה",22.2,24,14,83,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,8213
30,מטרו,2,1,21030,לקיה,"באר שבע","בית הקשתות - הברזל/הזורע",26.5,36,1,5,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,20236
30,מטרו,2,2,21030,לקיה,"באר שבע","בית הקשתות - ת.מרכזית באר שבע/הורדה",23.7,30,13,65,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,25703
32,"דן באר שבע",1,0,23032,"באר שבע","באר שבע","ת.מרכזית/עירוניים לדרום - חניון רכב כבד/הבונים",4.7,11,49,264,עירוני,"מקומי מאסף",סדיר,עירוני,לא,כן,"באר שבע עירוני",הדרום,17557
32,"דן באר שבע",2,0,23032,"באר שבע","באר שבע","חניון רכב כבד/הבונים - ת.מרכזית/עירוניים לצפון",4.5,11,44,226,עירוני,"מקומי מאסף",סדיר,עירוני,לא,כן,"באר שבע עירוני",הדרום,17558
33,"דן באר שבע",1,0,57033,"באר שבע","באר שבע","""מסוף י""""א"" - חניון רכב כבד/הבונים",15.7,34,53,305,עירוני,"מקומי מאסף",סדיר,עירוני,לא,כן,"באר שבע עירוני",הדרום,29703
33,"דן באר שבע",2,0,57033,"באר שבע","באר שבע","חניון רכב כבד/הבונים - ""דיקלה/מסוף י""""א""",15.5,34,51,293,עירוני,"מקומי מאסף",סדיר,עירוני,לא,כן,"באר שבע עירוני",הדרום,29677
33,"דן באר שבע",2,1,57033,"באר שבע","באר שבע","חניון רכב כבד/הבונים - ""דיקלה/מסוף י""""א""",13.7,28,1,6,עירוני,"מקומי מאסף",סדיר,עירוני,לא,כן,"באר שבע עירוני",הדרום,31272
34,"דן באר שבע",1,0,20034,"באר שבע","באר שבע","ת.מרכזית/עירוניים לצפון - מסוף רמות",17.0,39,55,311,עירוני,"מקומי מאסף",סדיר,עירוני,לא,כן,"באר שבע עירוני",הדרום,17547
34,"דן באר שבע",2,0,20034,"באר שבע","באר שבע","מסוף רמות - ת.מרכזית/עירוניים לצפון",16.3,41,56,316,עירוני,"מקומי מאסף",סדיר,עירוני,לא,כן,"באר שבע עירוני",הדרום,17548
35,"דן דרום",1,#,13035,"באר שבע",אשכול,"ת.מרכזית באר שבע/רציפים בינעיר - מסוף מועצה אזורית אשכול/רציפים",45.7,34,6,34,בין-עירוני,מאסף,סדיר,"בין עירוני",כן,לא,"צפון הנגב",הדרום,1802
35,"דן דרום",1,3,13035,"באר שבע",אשכול,"ת.מרכזית באר שבע/רציפים בינעיר - מסוף מועצה אזורית אשכול/רציפים",49.4,36,5,30,בין-עירוני,מאסף,סדיר,"בין עירוני",כן,לא,"צפון הנגב",הדרום,17134
35,"דן דרום",2,#,13035,אשכול,"באר שבע","מסוף מועצה אזורית אשכול/רציפים - ת.מרכזית באר שבע/הורדה",45.8,33,7,37,בין-עירוני,מאסף,סדיר,"בין עירוני",כן,לא,"צפון הנגב",הדרום,1806
